gene	condition	POU5F1	NANOG	SOX2
A11_S11_rsem.genes.results	FACS	1.57	0.16	79.62
A1_S1_rsem.genes.results	FACS	547.44	45.89	6.28
A2_S2_rsem.genes.results	FACS	1088.58	0	17.34
A3_S3_rsem.genes.results	C1	12.07	0	44.27
A4_S2_rsem.genes.results	FACS	710.74	17.46	19.16
A5_S5_rsem.genes.results	C1	6.32	171.13	349.91
A6_S6_rsem.genes.results	FACS	1479.71	59.33	20.04
A7_S7_rsem.genes.results	C1	188.08	88.55	37.47
A8_S8_rsem.genes.results	FACS	1259.06	97.21	33.66
A9_S9_rsem.genes.results	FACS	1832.08	2.87	3.32
B10_S22_rsem.genes.results	FACS	496.99	14.99	165.87
B12_S24_rsem.genes.results	FACS	781.65	56.59	29.87
B1_S9_rsem.genes.results	C1	0	0	0
B2_S14_rsem.genes.results	FACS	638.37	8.85	8.22
B3_S15_rsem.genes.results	FACS	687.76	9.39	17.95
B4_S16_rsem.genes.results	FACS	804.19	122.21	21.55
B5_S17_rsem.genes.results	FACS	641.28	124.6	14.43
B6_S12_rsem.genes.results	FACS	414.66	0	25.48
B7_S13_rsem.genes.results	FACS	860.04	2.95	19.71
B8_S14_rsem.genes.results	FACS	377.54	1.25	14.24
B9_S21_rsem.genes.results	FACS	828.17	30.06	9.28
C10_S34_rsem.genes.results	FACS	602.61	16.23	1.4
C11_S35_rsem.genes.results	FACS	136	3.52	42.65
C12_S36_rsem.genes.results	FACS	675.28	43.57	25.47
C1_S17_rsem.genes.results	C1	71.54	2.29	17.66
C2_S26_rsem.genes.results	FACS	669.62	71.08	12.09
C3_S27_rsem.genes.results	FACS	782.76	63.18	14.04
C4_S28_rsem.genes.results	FACS	565.14	6.55	17.17
C5_S29_rsem.genes.results	FACS	689.5	70.87	6.76
C6_S30_rsem.genes.results	FACS	763.6	72.1	10.37
C7_S31_rsem.genes.results	FACS	706.12	52.04	15.91
C8_S32_rsem.genes.results	FACS	477.58	28.95	8.21
